GEOGRAPHY,BA_CODE,ECODE,AREA_NAME,BAND_A,BAND_B,BAND_C,BAND_D,BAND_E,BAND_F,BAND_G,BAND_H,BAND_I,ALL_PROPERTIES
ENGWAL,N/A,K04000001,ENGLAND AND WALES,"6,043,050","4,967,220","5,488,220","3,890,520","2,444,090","1,306,860","885,030","151,670","5,480","25,182,140"
NATL,N/A,E92000001,ENGLAND,"5,834,040","4,668,670","5,180,720","3,662,340","2,255,520","1,192,470","832,840","139,050",N/A,"23,765,650"
REGL,N/A,E12000001,NORTH EAST,"660,250","187,250","178,400","98,400","49,980","21,740","12,490","1,410",N/A,"1,209,920"
LAUA,1355,E06000047,County Durham UA,"143,470","31,270","29,460","20,320","9,900","3,850","2,100",270,N/A,"240,620"
LAUA,1350,E06000005,Darlington UA,"22,690","10,140","7,100","5,150","2,920","1,200",540,50,N/A,"49,780"
LAUA,0724,E06000001,Hartlepool UA,"24,050","7,270","6,080","3,160","1,600",630,440,60,N/A,"43,290"
LAUA,0734,E06000002,Middlesbrough UA,"33,170","10,500","10,630","4,860","2,100",730,490,50,N/A,"62,510"
LAUA,2935,E06000057,Northumberland UA,"70,420","23,670","19,170","15,630","10,180","6,460","3,960",510,N/A,"150,000"
LAUA,0728,E06000003,Redcar and Cleveland UA,"26,640","13,090","13,780","5,430","3,120",870,400,30,N/A,"63,340"
LAUA,0738,E06000004,Stockton-on-Tees UA,"34,980","16,260","15,470","9,360","5,330","2,180","1,280",120,N/A,"84,990"
CTYMET,N/A,E11000007,Tyne and Wear (Met County),"304,840","75,040","76,730","34,490","14,840","5,830","3,310",320,N/A,"515,390"
LAUA,4505,E08000037,Gateshead,"56,440","12,610","14,900","5,570","2,230",810,370,50,N/A,"92,970"
LAUA,4510,E08000021,Newcastle upon Tyne,"73,320","19,590","18,230","8,600","4,350","2,170","1,650",130,N/A,"128,030"
LAUA,4515,E08000022,North Tyneside,"49,900","15,250","18,660","7,520","3,430","1,120",340,40,N/A,"96,260"
LAUA,4520,E08000023,South Tyneside,"45,910","9,730","8,190","4,320","1,740",690,330,50,N/A,"70,950"
LAUA,4525,E08000024,Sunderland,"79,260","17,870","16,760","8,490","3,090","1,040",610,60,N/A,"127,180"
REGL,N/A,E12000002,NORTH WEST,"1,338,140","647,560","564,640","326,700","189,060","92,200","60,590","6,700",N/A,"3,225,590"
LAUA,2372,E06000008,Blackburn with Darwen UA,"35,360","9,250","8,300","4,260","2,000",770,570,70,N/A,"60,570"
LAUA,2373,E06000009,Blackpool UA,"31,720","20,800","11,230","4,590","1,820",550,250,30,N/A,"70,990"
LAUA,0660,E06000049,Cheshire East UA,"30,040","35,370","33,430","24,970","19,330","13,240","11,910","1,790",N/A,"170,070"
LAUA,0665,E06000050,Cheshire West and Chester UA,"33,240","36,060","30,150","20,580","15,440","9,260","7,360",580,N/A,"152,670"
LAUA,0650,E06000006,Halton UA,"26,230","12,010","7,810","4,790","3,470","1,080",380,40,N/A,"55,810"
LAUA,0655,E06000007,Warrington UA,"26,570","20,190","19,190","11,610","7,010","4,410","2,600",200,N/A,"91,770"
CTYMET,N/A,E10000006,Cumbria,"92,550","47,430","40,930","30,620","18,880","8,500","4,230",410,N/A,"243,540"
LAUA,0905,E07000026,Allerdale,"22,090","7,610","7,120","5,240","2,900","1,060",470,30,N/A,"46,510"
LAUA,0910,E07000027,Barrow-in-Furness,"19,790","5,460","4,670","2,310",980,230,70,10,N/A,"33,520"
LAUA,0915,E07000028,Carlisle,"22,360","11,830","7,530","5,340","2,660","1,110",360,30,N/A,"51,200"
LAUA,0920,E07000029,Copeland,"19,250","4,590","4,070","3,090","1,820",440,90,20,N/A,"33,370"
LAUA,0925,E07000030,Eden,"4,260","7,060","5,330","4,640","3,240","1,030",390,50,N/A,"26,000"
LAUA,0930,E07000031,South Lakeland,"4,800","10,890","12,220","10,000","7,280","4,630","2,860",270,N/A,"52,940"
CTYMET,N/A,E11000001,Greater Manchester (Met County),"555,380","232,450","207,250","108,770","56,600","23,880","14,850","2,020",N/A,"1,201,200"
LAUA,4205,E08000001,Bolton,"63,950","21,390","18,260","10,370","5,410","2,220","1,800",230,N/A,"123,630"
LAUA,4210,E08000002,Bury,"30,090","18,180","17,120","8,930","5,310","1,800","1,250",180,N/A,"82,850"
LAUA,4215,E08000003,Manchester,"131,560","37,940","31,740","15,020","5,400","2,000",780,100,N/A,"224,540"
LAUA,4220,E08000004,Oldham,"50,320","16,880","15,900","6,690","3,240","1,510",860,80,N/A,"95,480"
LAUA,4225,E08000005,Rochdale,"51,080","15,310","11,790","7,730","4,250","1,620",860,50,N/A,"92,710"
LAUA,4230,E08000006,Salford,"59,260","24,290","15,810","7,980","3,340","1,400",830,100,N/A,"113,010"
LAUA,4235,E08000007,Stockport,"30,930","27,460","27,840","19,030","12,580","6,120","3,300",190,N/A,"127,460"
LAUA,4240,E08000008,Tameside,"52,290","18,610","18,960","6,550","3,560",880,390,40,N/A,"101,290"
LAUA,4245,E08000009,Trafford,"18,550","20,990","26,440","14,650","7,690","4,480","4,140",990,N/A,"97,940"
LAUA,4250,E08000010,Wigan,"67,340","31,410","23,380","11,810","5,820","1,850",630,50,N/A,"142,300"
CTYMET,N/A,E10000017,Lancashire,"199,870","104,460","98,770","64,590","38,360","18,370","10,350",850,N/A,"535,610"
LAUA,2315,E07000117,Burnley,"24,940","5,220","6,100","2,760","1,250",320,130,20,N/A,"40,740"
LAUA,2320,E07000118,Chorley,"14,690","11,190","9,300","6,540","4,690","2,030",860,70,N/A,"49,360"
LAUA,2325,E07000119,Fylde,"6,950","6,320","8,700","6,940","4,620","2,490","1,530",120,N/A,"37,670"
LAUA,2330,E07000120,Hyndburn,"21,740","5,480","5,500","2,650",860,280,170,10,N/A,"36,690"
LAUA,2335,E07000121,Lancaster,"22,320","15,920","12,130","6,270","3,850","1,910",830,70,N/A,"63,290"
LAUA,2340,E07000122,Pendle,"24,740","4,540","4,290","3,170","1,740",940,520,50,N/A,"39,990"
LAUA,2345,E07000123,Preston,"28,630","12,170","9,610","6,330","2,530","1,310",890,60,N/A,"61,540"
LAUA,2350,E07000124,Ribble Valley,"3,660","5,000","4,970","4,550","3,450","2,140","1,900",210,N/A,"25,880"
LAUA,2355,E07000125,Rossendale,"16,200","4,980","4,100","3,290","1,910",650,440,40,N/A,"31,590"
LAUA,2360,E07000126,South Ribble,"9,910","12,970","12,050","7,830","3,930","1,580",510,30,N/A,"48,810"
LAUA,2365,E07000127,West Lancashire,"14,320","8,820","9,750","6,970","4,750","2,440","1,550",90,N/A,"48,690"
LAUA,2370,E07000128,Wyre,"11,770","11,850","12,280","7,310","4,790","2,300","1,010",80,N/A,"51,380"
CTYMET,N/A,E11000002,Merseyside (Met County),"307,210","129,540","107,590","51,930","26,160","12,140","8,090",710,N/A,"643,370"
LAUA,4305,E08000011,Knowsley,"37,500","13,630","8,980","3,960","1,600",280,130,20,N/A,"66,100"
LAUA,4310,E08000012,Liverpool,"134,050","38,840","26,520","13,370","4,860","2,180","1,620",150,N/A,"221,590"
LAUA,4320,E08000014,Sefton,"39,290","27,120","30,110","14,900","8,270","3,860","2,700",250,N/A,"126,490"
LAUA,4315,E08000013,St. Helens,"36,930","17,970","14,860","6,490","3,340","1,580",550,40,N/A,"81,760"
LAUA,4325,E08000015,Wirral,"59,450","31,980","27,120","13,210","8,090","4,240","3,090",260,N/A,"147,430"
REGL,N/A,E12000003,YORKSHIRE AND THE HUMBER,"1,034,310","479,200","395,480","223,820","139,320","66,980","38,090","3,410",N/A,"2,380,620"
LAUA,2001,E06000011,East Riding of Yorkshire UA,"39,850","35,750","29,750","23,270","14,700","6,540","3,040",260,N/A,"153,150"
LAUA,2004,E06000010,"Kingston upon Hull, City of UA","80,990","22,200","10,080","4,070","1,240",310,60,40,N/A,"119,000"
LAUA,2002,E06000012,North East Lincolnshire UA,"38,540","17,340","8,680","4,910","2,010",710,450,60,N/A,"72,690"
LAUA,2003,E06000013,North Lincolnshire UA,"35,240","15,280","11,100","7,400","3,670","1,470",500,30,N/A,"74,680"
